OBJECTID,TARGET_FID,CUT,REGION,PROVINCIA,COMUNA,COD_URBANO_CENSO,URBANO_CENSO,TIPO_EP,NOMBRE_EP,OBSERVACIONES,SUP_TOTAL_M2,USO,ID_TEXT,FUENTE,NOMBRE_MINVU,EXTENSION,Aplicabili,Cierres,Valor_pers,Valor_veh,Bancas_escanos,Pileta_fuente,Bebedero_agua,Juegos_agua,Juegos_infant,Escenario_explan,Maquinas_ejerc,Mesa_juegos,Pergolas_techos,Infraest_deportiva,Cancha_Skatepark,Basureros,Banos,Banos_accesibles,Luminarias,Arenero,Rutas_peatonales,Otros_mobiliarios,Estado_mobiliarios,Limpieza,RtaPeat_conect_calle,RtaPeat_conect_estacionm,RtaPeat_conect_parad,RtaPeat_superf_lisa,RtaPeat_libre_obst,RtaPeat_conect_descan,Zna_descan_escano,RtaPeat_accesible,Zona_juegos_accesib,VentaConsum_drogas,Guardias,Estratos_vegetacion,Estado_vegetacion,Fecha_encuesta,MG,VG,AU,SG,DE,CALIDAD,RANGO_CALIDAD
7754,45788,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA,CHIPANA-C DRAG�N, ,"2,703.9",P�BLICO,110110034,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Con_cierre_perim_gratuito,0,0,Hay_general_buen_estado,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado,Hay_general_buen_estado,No_hay,Hay_general_estado_regular,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado,sede social,Hay_general_buen_estado,Bueno,Si,No,Si,Si,Si,Si,No,Si,No,No,No,"Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5",Bueno,14-02-2019,99.14,50.00,60.00,100.00,85.00,74.29,RANGO SUPERIOR
7755,45789,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA,CERRO DRAG�N-FREY MONTALVA, ,"1,038.6",P�BLICO,110110035,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Sin_cierre_perimetral,0,0,Hay_general_buen_estado,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_mayoria_mal_estado, , ,Bueno,No,No,Si,No,No,No,No,No,No,No,No,"Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_m�s_5m",Bueno,15-02-2019,94.75,100.00,0.00,100.00,40.00,61.69,RANGO INTERMEDIO
7756,45790,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA,LA JUAN FERN�NDEZ, ,"1,267.3",P�BLICO,110110036,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Con_cierre_perim_gratuito,0,0,No_hay,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado, , ,Bueno,Si,No,Si,Si,Si,Si,No,Si,No,No,No,"Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_m�s_5m",Bueno,13-02-2019,100.00,100.00,60.00,100.00,41.67,78.33,RANGO SUPERIOR
7757,45791,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA,SALVADOR  ALLENDE-A CASTILLO, ,583.4,P�BLICO,110110037,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Con_cierre_perim_gratuito,0,0,No_hay,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado, , ,Bueno,Si,No,Si,Si,Si,Si,No,Si,No,No,No,"Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m",Bueno,13-02-2019,100.00,75.00,60.00,100.00,40.00,71.75,RANGO INTERMEDIO
7758,45792,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA,OASIS,INTERIOR CONDOMINIO,659.8,PRIVADO,110110038,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Con_cierre_perim_gratuito,0,0,Hay_general_buen_estado,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,Hay_general_estado_regular, , ,Bueno,No,No,No,Si,No,Si,No,No,No,No,No,"Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_m�s_5m",Bueno,15-02-2019,98.00,100.00,22.50,50.00,60.00,69.63,RANGO INTERMEDIO
7759,45793,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA,ROTONDA, ,"5,757.2",P�BLICO,110110039,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Sin_cierre_perimetral,0,0,Hay_general_estado_regular,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,Hay_general_estado_regular,Hay_general_buen_estado,No_hay,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_estado_regular,reten carabineros,Hay_general_buen_estado,Bueno,No,No,Si,No,No,No,No,No,No,No,Si,"Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_alto_arbol_m�s_5m",Regular,19-02-2019,77.50,75.00,0.00,100.00,43.33,51.79,RANGO INFERIOR
7760,45794,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA, , ,493.2,P�BLICO,110110040,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Sin_cierre_perimetral,0,0,Hay_general_buen_estado,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado, , ,Bueno,No,No,Si,Si,Si,Si,No,Si,No,No,No,"Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m",Regular,14-02-2019,82.00,75.00,47.50,100.00,40.00,64.13,RANGO INTERMEDIO
7761,45796,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA,CARAMPAGNE, ,565.2,P�BLICO,110110042,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Con_cierre_perim_gratuito,0,0,Hay_general_buen_estado,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado, , ,Bueno,Si,No,No,Si,Si,Si,No,Si,No,Si,No,"Estrato_bajo_20cm_aprox,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_m�s_5m",Bueno,14-02-2019,100.00,75.00,60.00,50.00,80.00,77.25,RANGO SUPERIOR
7762,45797,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA,TENIENTE IB��EZ,MULTICANCHA,"4,291.7",P�BLICO,110110043,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Sin_cierre_perimetral,0,0,Hay_general_buen_estado,No_hay,No_hay,No_hay,Hay_general_buen_estado,Hay_general_buen_estado,Hay_general_buen_estado,No_hay,Hay_general_buen_estado,No_hay,No_hay,Hay_general_buen_estado,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado, , ,Bueno,Si,No,Si,Si,Si,Si,No,No,No,No,No,"Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_m�s_5m",Bueno,14-02-2019,100.00,100.00,47.50,100.00,85.00,83.88,RANGO SUPERIOR
19896,45799,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA,EL MONTE, ,566.5,P�BLICO,110110045,RA O FI, ,COMUNAL,No_visitado,SIN INFORMACI�N,S/I,S/I,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N, ,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,SIN INFORMACI�N
